filter,asia,london,new_york,turkey
baseline,-0.179,-0.351,-0.436,-0.304
hp129600,-0.013,-0.294,-0.405,-0.254
hp14400,-0.21,-0.222,-0.189,-0.157
hp1600,-0.213,-0.056,0.009,-0.057
ma12,-0.118,-0.258,-0.478,-0.273
ma3,-0.171,-0.343,-0.461,-0.311
ma6,-0.149,-0.328,-0.478,-0.299
