,new_york,london,asia,turkey
12,-0.01,0.017,-0.003,0.032
24,-0.081,-0.046,-0.101,-0.061
36,-0.126,-0.04,-0.16,-0.012
60,-0.13,-0.049,-0.164,-0.165
84,-0.113,-0.393,-0.248,-0.264
120,-0.091,-0.511,-0.391,-0.405
240,-0.126,-0.78,-0.797,
360,0.09,,,
