filter,asia,london,new_york,turkey
baseline,-0.09,-0.091,-0.231,-0.348
hp129600,0.012,0.131,-0.209,-0.234
hp14400,-0.014,0.148,-0.074,-0.059
hp1600,0.031,0.07,0.088,0.035
ma12,-0.098,-0.168,-0.271,-0.229
ma3,-0.108,-0.105,-0.265,-0.356
ma6,-0.115,-0.112,-0.275,-0.35
