window,asia,london,new_york,turkey
12,6.8,3.5,4.7,5.9
24,10.6,2.7,6.8,8.9
36,8.1,6.8,5.7,6.3
60,5.8,5.2,3.5,3.4
84,7.8,6.3,4.3,4.1
120,8.4,5.5,6.0,6.1
240,9.0,0.0,14.5,0.0
360,14.8,0.0,0.0,
