window,asia,london,new_york,turkey
12,3.0,1.5,2.1,2.6
24,4.6,1.2,3.0,3.9
36,3.6,3.0,2.5,2.8
60,2.5,2.3,1.5,1.5
84,3.4,2.8,1.9,1.8
120,3.8,2.5,2.6,2.7
240,3.9,0.0,6.4,0.0
360,7.0,0.0,0.0,
