,new_york,london,asia,turkey
12,0.01,0.073,0.039,0.013
24,-0.076,0.151,-0.025,-0.006
36,-0.235,0.177,-0.09,0.064
60,-0.27,0.211,0.037,-0.11
84,-0.323,0.121,0.024,-0.323
120,-0.223,-0.259,-0.17,-0.38
240,0.076,-0.469,-0.399,-0.662
360,0.011,-0.444,-0.601,
