,new_york,london,asia,turkey
12,0.076,0.047,0.113,0.093
24,0.075,0.048,0.027,0.04
36,-0.077,0.126,-0.054,0.056
60,-0.233,0.141,-0.033,-0.031
84,-0.231,0.169,-0.042,-0.187
120,-0.158,-0.091,-0.09,-0.348
240,0.072,-0.337,-0.279,-0.466
360,-0.026,-0.177,-0.74,
