window,asia,london,new_york,turkey
12,21.0,13.0,24.0,16.0
24,18.0,7.0,16.0,12.0
36,11.0,14.0,12.0,6.0
60,10.0,6.0,9.0,5.0
84,6.0,7.0,6.0,3.0
120,7.0,2.0,12.0,2.0
240,7.0,0.0,9.0,0.0
360,3.0,0.0,0.0,
