,new_york,london,asia,turkey
h12,-0.231,-0.091,-0.09,-0.348
h24,-0.323,-0.259,-0.17,-0.38
h36,-0.253,-0.426,-0.365,-0.179
h60,-0.224,-0.624,-0.648,-0.37
h84,-0.113,-0.511,-0.391,-0.405
h120,-0.329,-0.47,-0.116,-0.528
