,new_york,london,asia,turkey
12,0.015,0.077,0.042,0.007
24,-0.028,0.049,-0.002,-0.075
36,-0.148,0.029,-0.065,-0.146
60,-0.259,-0.115,-0.146,-0.238
84,-0.224,-0.31,-0.279,-0.21
120,-0.092,-0.624,-0.648,-0.37
240,-0.107,-0.798,-0.788,-0.682
360,-0.005,-0.734,,
