filter,asia,london,new_york,turkey
baseline,-0.298,-0.412,-0.581,-0.38
hp129600,-0.034,-0.217,-0.537,-0.389
hp14400,-0.052,-0.106,-0.301,-0.251
hp1600,-0.057,-0.0,-0.056,-0.18
ma12,-0.325,-0.357,-0.537,-0.183
ma3,-0.309,-0.41,-0.594,-0.357
ma6,-0.317,-0.407,-0.594,-0.3
