,new_york,london,asia,turkey
12,0.024,0.043,0.043,0.017
24,-0.075,0.077,0.001,-0.008
36,-0.141,0.134,0.008,0.008
60,-0.156,0.155,0.051,-0.189
84,-0.253,-0.054,-0.055,-0.326
120,-0.129,-0.426,-0.365,-0.179
240,0.062,-0.608,-0.686,-0.739
360,0.049,-0.708,-0.72,
