,new_york,london,asia,turkey
12,0.136,0.08,-0.002,0.018
24,-0.054,-0.016,-0.091,-0.166
36,-0.402,-0.256,-0.267,-0.267
60,-0.674,-0.306,-0.153,-0.258
84,-0.639,-0.102,-0.018,-0.331
120,-0.701,-0.138,-0.236,-0.318
240,-0.427,-0.523,-0.415,-0.662
360,-0.2,-0.444,-0.601,
