filter,asia,london,new_york,turkey
baseline,-0.365,-0.426,-0.253,-0.179
hp129600,-0.028,-0.085,-0.227,-0.274
hp14400,0.088,0.139,-0.155,-0.215
hp1600,0.047,0.067,-0.099,-0.131
ma12,-0.446,-0.458,-0.201,-0.165
ma3,-0.382,-0.45,-0.258,-0.181
ma6,-0.406,-0.46,-0.247,-0.184
