market,filter,window,n,rho_full,rho_2005,rho_2nd_half,rho_12,rho_36
new_york,baseline,84,560,-0.32307131992494514,-0.5812632664892475,-0.4345009128690876,-0.2309928177103428,-0.2507322348953105
new_york,ma3,84,558,-0.3181879919641559,-0.5938849758293124,-0.46206079818896445,-0.2646575672666534,-0.25673457750005385
new_york,ma6,84,555,-0.28692429020974847,-0.5941004350267268,-0.47677304553872374,-0.2752944179933679,-0.24510001295170572
new_york,ma12,84,549,-0.22429739539707236,-0.5356918203106811,-0.47343374725459536,-0.27046358498106454,-0.198662277282566
new_york,hp1600,84,525,-0.09413179859933408,-0.055681595128431016,0.009765936942044645,0.0879427187544655,-0.1030941745170319
new_york,hp14400,84,525,-0.23099842020806813,-0.3054079345588336,-0.19488430781562963,-0.07398941203930297,-0.15696170600382284
new_york,hp129600,84,525,-0.3050462120238337,-0.5423820109829413,-0.40926846608789524,-0.2099697562115695,-0.2255057405795618
london,baseline,120,321,-0.2627311052417717,-0.41907361674738774,-0.360603926965483,-0.09753693524705719,-0.4243129247827024
london,ma3,120,319,-0.29320658602945526,-0.41734355242916543,-0.3519613491009372,-0.11119644742110436,-0.4487238188138744
london,ma6,120,316,-0.3186074238024883,-0.413171312886012,-0.3356229963781451,-0.11723075751155719,-0.4583842335916076
london,ma12,120,310,-0.3640779720107188,-0.35920608763528966,-0.26106959402153906,-0.17470253782986284,-0.4565411244722595
london,hp1600,120,322,0.12626212614261473,-0.006139674163612045,-0.06265702261125601,0.06713623982370073,0.06769249050626219
london,hp14400,120,322,0.18663319387936103,-0.11238023070567452,-0.23104793756967668,0.14587992228532043,0.14100922133727015
london,hp129600,120,322,0.05633553491971438,-0.22877201951914253,-0.3085017575864258,0.12709409740422345,-0.08362122528884025
asia,baseline,120,297,-0.1737307777576234,-0.302529363162868,-0.18678768657013764,-0.09457213628839058,-0.36840550109638315
asia,ma3,120,295,-0.18386464984527942,-0.3155874686739673,-0.1813577285658504,-0.1120862914309935,-0.38477409831517484
asia,ma6,120,292,-0.19666096794141708,-0.3239383384991806,-0.1597638039987569,-0.11508341947223195,-0.40842667453848713
asia,ma12,120,286,-0.24109728525646365,-0.33177247143567945,-0.12803034528922855,-0.09955654046695772,-0.44542056483662323
asia,hp1600,120,298,0.04316582810892703,-0.04941958396289719,-0.20477810804134228,0.025014727755550477,0.04180697351429059
asia,hp14400,120,298,0.07812564830364656,-0.048464624977746534,-0.205756679868355,-0.01781408889824304,0.08434569281809332
asia,hp129600,120,298,0.07607238917422751,-0.03486330665960642,-0.01650503231358924,0.007484015979488894,-0.029915912072523112
turkey,baseline,120,207,-0.37579282614107434,-0.37579282614107434,-0.2984733356570233,-0.3481017286094577,-0.16632086617359074
turkey,ma3,120,205,-0.3508434204844618,-0.3508434204844618,-0.3029208783548274,-0.3555633065103323,-0.1684321750974841
turkey,ma6,120,202,-0.29233217417764124,-0.29233217417764124,-0.2897804112931334,-0.34939924266310757,-0.17174611922476352
turkey,ma12,120,196,-0.17343671556869528,-0.17343671556869528,-0.2632729173928197,-0.2277954692142335,-0.15130897112365393
turkey,hp1600,120,208,-0.18942060990115908,-0.18942060990115908,-0.06711746253049843,0.034442109059353215,-0.12776896779797434
turkey,hp14400,120,208,-0.2607948877971761,-0.2607948877971761,-0.16796793307772742,-0.0598028884894316,-0.20608658926280393
turkey,hp129600,120,208,-0.39534226261915045,-0.39534226261915045,-0.26191704426629486,-0.23572237593188436,-0.26393070308951383
