,new_york,london,asia,turkey
12,0.107,0.106,0.072,0.014
24,-0.062,0.094,0.0,-0.145
36,-0.291,-0.063,-0.11,-0.184
60,-0.423,-0.111,0.048,-0.162
84,-0.581,-0.191,0.003,-0.374
120,-0.541,-0.412,-0.298,-0.38
240,-0.001,-0.469,-0.399,-0.662
360,0.058,-0.444,-0.601,
