market,window,n_z,crit,flag_pct,n_entries,ratio_vs_nominal,median_episode_m,rho_12,ret_flag_12,ret_norm_12,diff_12,rho_24,ret_flag_24,ret_norm_24,diff_24,diff_24_lo,diff_24_hi,rho_36,ret_flag_36,ret_norm_36,diff_36,dd24_flag,dd24_base
new_york,12,657,2.32,4.71841704718417,24,2.074017442154575,2.0,0.07611296128264514,7.8414278660770345,5.812562433090533,2.0288654329865015,0.010300482222709639,3.2618728760148743,6.1895520157906,-2.9276791397757256,-6.998089302838801,1.5271756378880745,0.02370091101460299,3.6636170577574356,6.512667650948524,-2.8490505931910883,-11.881385462955972,-12.35852236278084
new_york,24,645,2.13,6.821705426356589,16,2.9985344445013484,3.0,0.07454623545132703,5.912926312009277,6.479757135822941,-0.5668308238136639,-0.07614600886812412,4.91071273003776,6.987494559777861,-2.076781829740101,-7.256346486874743,2.7097207488790818,-0.07494756181012167,6.623138723235374,7.027258900501159,-0.404120177265785,-10.335548039294334,-11.637923646126126
new_york,36,633,2.08,5.687203791469194,12,2.499855299487337,4.0,-0.07666653137491,-0.26672466322353805,7.970691252212291,-8.237415915435829,-0.23470186206046484,-2.7755805861024765,8.157177269398264,-10.932757855500741,-18.48021160482744,-3.996657691902402,-0.1407883393533852,-0.3347545603920494,7.936123374673893,-8.270877935065943,-16.100174657357954,-10.81476985888363
new_york,60,609,2.04,3.4482758620689653,9,1.5157168626201958,3.0,-0.23344506420229358,-13.75075209350783,8.507631083210194,-22.258383176718024,-0.27008221335913146,-10.484534181838082,8.326137794407583,-18.810671976245665,-28.607585984036,-5.798361765899472,-0.15579663600350616,-4.878573800192319,8.018657193381488,-12.897230993573807,-29.81720355699067,-10.71748663643114
new_york,84,585,2.03,4.273504273504273,6,1.87845252205067,5.0,-0.2308836610969161,0.4098303854255742,8.119230507627835,-7.70940012220226,-0.3231813560105375,-14.367845737185817,8.7177396458068,-23.08558538299262,-31.39346337032355,-14.675326639283332,-0.25250419717094363,-9.37984703471961,8.396870290825706,-17.776717325545317,-28.805941107248607,-11.100905544110628
new_york,120,549,2.02,6.0109289617486334,12,2.642151252327008,3.0,-0.15759464086392402,-2.838612542820695,8.510800721233663,-11.349413264054357,-0.2230084877535027,-10.501480321691583,9.160545595397322,-19.662025917088904,-27.984671032249825,-5.246584768851221,-0.12884580787653313,-6.406418297449529,8.621952159589412,-15.028370457038942,-28.29670595974897,-11.159313677039739
new_york,240,429,2.01,14.452214452214452,9,6.352584892753174,4.0,0.07219151068545238,3.238077230235808,9.64276873234804,-6.404691502112232,0.07559995736847905,0.5015843898962294,9.832751985696708,-9.331167595800478,-33.60972197065141,10.737316418866563,0.0619854366360021,-0.6685344622392347,9.80276437924016,-10.471298841479395,-22.846671232600535,-10.14638127200646
new_york,360,309,2.01,0.0,0,0.0,,-0.026094886833141866,,,,0.011421565832240405,,,,,,0.04908546798843064,,,,,-9.923250493120708
london,12,454,2.32,3.524229074889868,13,1.5491026965986143,2.0,0.04678996099221074,1.0882064563217295,1.5851592289062812,-0.4969527725845517,0.07253023240720861,4.594649063638113,1.3012804128472335,3.2933686507908795,-0.08556167410461477,6.694458616119915,0.043197425250581865,3.267645371722403,1.2711106734090172,1.9965346983133858,-5.948398391559003,-10.233452190867595
london,24,442,2.13,2.7149321266968327,7,1.1933698375380726,3.0,0.047596594847444676,,,,0.15129339243659143,,,,,,0.07677404229128366,,,,,-10.222949313065923
london,36,430,2.08,6.744186046511628,14,2.964460189450197,2.5,0.1257688622485894,4.888333631612972,1.4363626521343573,3.451970979478615,0.1771865013244324,4.931569416788515,1.2650670788295029,3.6665023379590123,-0.7270692812608129,7.567421072858716,0.13400377583748496,3.308768133604628,1.1760242808049883,2.1327438527996394,-5.292946300906398,-10.243109012058696
london,60,406,2.04,5.172413793103448,6,2.2735752939302936,4.0,0.1405756361854526,3.9263395493028397,1.3346337650642401,2.5917057842385995,0.21075609947482524,6.876064733508631,0.9277798682418589,5.948284865266772,1.3412498483461324,10.484955094871935,0.15466628287613102,4.689042644952346,0.8471828005613704,3.841859844390976,-6.870120168140397,-10.491337259670075
