window,asia,london,new_york,turkey
12,430.0,454.0,657.0,340.0
24,418.0,442.0,645.0,328.0
36,406.0,430.0,633.0,316.0
60,382.0,406.0,609.0,292.0
84,358.0,382.0,585.0,268.0
120,322.0,346.0,549.0,232.0
240,202.0,226.0,429.0,112.0
360,82.0,106.0,309.0,
